date,cases,deaths
1/21/20,1,0
1/22/20,1,0
1/23/20,1,0
1/24/20,2,0
1/25/20,3,0
1/26/20,5,0
1/27/20,5,0
1/28/20,5,0
1/29/20,5,0
1/30/20,6,0
1/31/20,7,0
2/1/20,8,0
2/2/20,11,0
2/3/20,11,0
2/4/20,11,0
2/5/20,12,0
2/6/20,12,0
2/7/20,12,0
2/8/20,12,0
2/9/20,12,0
2/10/20,13,0
2/11/20,13,0
2/12/20,14,0
2/13/20,15,0
2/14/20,15,0
2/15/20,15,0
2/16/20,15,0
2/17/20,25,0
2/18/20,25,0
2/19/20,25,0
2/20/20,27,0
2/21/20,30,0
2/22/20,30,0
2/23/20,30,0
2/24/20,43,0
2/25/20,45,0
2/26/20,60,0
2/27/20,60,0
2/28/20,65,0
2/29/20,70,1
3/1/20,88,3
3/2/20,104,6
3/3/20,125,10
3/4/20,161,12
3/5/20,228,12
3/6/20,311,15
3/7/20,428,19
3/8/20,547,22
3/9/20,748,26
3/10/20,1018,31
3/11/20,1263,37
3/12/20,1668,43
3/13/20,2224,50
3/14/20,2898,60
3/15/20,3600,68
3/16/20,4507,91
3/17/20,5905,116
3/18/20,8345,157
3/19/20,12413,203
3/20/20,17996,265
3/21/20,24532,343
3/22/20,33061,436
3/23/20,43499,546
3/24/20,53938,731
3/25/20,68537,990
3/26/20,85533,1275
3/27/20,102766,1649
3/28/20,123619,2134
3/29/20,142194,2486
3/30/20,163683,3073
3/31/20,188049,3911
4/1/20,214711,4841
4/2/20,244423,6232
4/3/20,276501,7121
4/4/20,311536,8499
4/5/20,336774,9655
4/6/20,366238,10959
4/7/20,397754,12956
4/8/20,429319,14803
4/9/20,463684,16674
4/10/20,496912,18712
4/11/20,528395,20575
4/12/20,555325,22056
4/13/20,580851,23606
4/14/20,607286,26080
4/15/20,637054,28582
4/16/20,668532,30664
